filename,genre,duration(in sec),mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
j32,Jazz,30,-179.6,124.34,-29.75,45.37,-10.2,17.79,-8.81,12.76,-10.76,8.62,-12.4,3.39,-12.03
j33,Jazz,30,-237.33,146.82,-24.42,64.27,-10.81,3.27,-1.33,2.71,5.14,0.4,9.62,2.52,3.12
j34,Jazz,30,-270.31,137.59,5.64,42.49,-7.96,9.94,-6.81,8.25,-6.18,5.48,-5.44,-5.18,-6.99
j35,Jazz,30,-179.8,147.76,-20.46,58.6,-23.8,2.46,-3.19,-9.31,-5.76,-0.42,-8.36,3.09,-6.86
j36,Jazz,30,-216.34,135.02,-35.49,61.6,-14.56,11.05,1.21,10.95,-8.3,-1.44,0.12,8.28,-4.58
j37,Jazz,30,-206.79,141.82,-13.79,49.32,-24.8,11.8,-12.79,-16.55,-8.39,-1.21,-7.66,-1.38,-9.35
j38,Jazz,30,-173.2,111.67,-35.91,45.84,-11.44,19.69,-8.08,17.95,-8.96,14.69,-10.34,4.68,-11.8
j39,Jazz,30,-246.97,168.02,-19.8,22,-0.74,15.09,-1.28,4.74,-2.05,6.53,-1.39,5.63,-0.29
j40,Jazz,30,-231.31,174.39,-19.75,47.36,-1.98,6.67,-1.12,-5.5,-13.73,-3.69,-6.31,-1.5,-2.64
j41,Jazz,30,-204.23,147.6,-25.21,49.35,-15.66,2.7,-7.85,-10.64,-4.8,-3.67,-3.51,1.56,1.48
j42,Jazz,30,-201.78,109.29,-15.51,44.26,-11.04,18.84,-11.31,18.4,-18.9,11.21,-11.91,6.95,-11.66
j43,Jazz,30,-204.78,117.44,-20.94,42.02,-10.36,19.22,-11.64,7.98,-20.27,8.79,-11.7,5.17,-11.24
j44,Jazz,30,-165.52,87.27,24.83,28.4,-2.77,-1.32,-14.07,-4.76,-19.2,-0.6,-11.95,-8.33,-8.23
j45,Jazz,30,-246.27,120.21,-0.98,30.7,0.17,23.16,0.43,9.17,-0.56,5.73,-3.75,4.23,-0.29
j46,Jazz,30,-54.9,77.32,8.34,31.68,11.31,11.74,7.88,13.47,-2.21,5.59,1.52,7.42,-0.92
j47,Jazz,30,-234.41,142.74,-14.3,51.96,-8.2,12.79,-4.28,12.09,-13.72,-1.56,-3.98,4.93,-3.95
j48,Jazz,30,-291.97,137.7,2.65,35.66,-12.31,15.6,-6.79,-2.85,-3.77,-3.46,-1.71,10.41,8.3
j49,Jazz,30,-189.98,134.42,-25.65,45.73,8.18,21.44,-4.59,14.39,-12.66,10.28,-7.94,-1.14,-5.05
j50,Jazz,30,-296.71,172.36,16.87,18.94,1.37,14.4,1.01,9.53,-7.41,3.52,-7.66,-0.11,-7.95
r1,Rock,30,-116.63,109.25,-23.16,40.68,-11.89,23.15,-15.41,15.12,-13.52,12.7,-10.87,8.5,-11.58
r2,Rock,30,-178.6,154.01,-4.96,21.93,-2.05,23.67,-1.28,11.56,-6.03,4.95,-2.94,5.41,-4.12
r3,Rock,30,-108.95,114.95,-5.21,46.19,-9.14,20.52,-17.02,24.22,-8.05,13.44,-18.38,8.58,-11.4
r4,Rock,30,-169.68,119.11,7.16,53.43,4.13,23.13,-5.72,24.99,-9.33,13.47,-14.28,5.96,-13.6
r5,Rock,30,-204.6,106.98,-10.21,45.59,3.03,24,-7.5,20.07,-5.17,8.74,-10.11,4.36,-6.96
r6,Rock,30,-211.22,95.75,40.58,68.28,5.3,30.97,-5.28,22.82,-1.62,17.49,-11.5,8.73,-10.46
r7,Rock,30,-256.37,103.13,-8.43,48.59,-4.19,17.34,-6.68,17.04,-4.61,5.32,-10.02,8.23,-6.21
r8,Rock,30,-174.93,90.93,-18.72,41.61,-8.88,9.08,-12.46,13.13,-9.69,4.34,-13.49,6.74,-10.38
r9,Rock,30,-15.67,100.08,-37.6,45.95,-20.77,25.64,-18.63,26.51,-20.16,21.12,-13.65,10.97,-15.53
r10,Rock,30,-41.41,105.41,-43.94,54.12,-18.42,23.53,-17.62,20.66,-18.47,17.48,-15.18,11.31,-14.16
r11,Rock,30,-67.59,109.13,-32.71,45.65,-11.68,27.49,-16.33,22.08,-15.45,19.39,-11.61,11.58,-10.52
r12,Rock,30,-111.25,134.15,-24.66,41.54,-3.08,28.48,-10.6,14.92,-14.41,8.84,-4.55,9.94,-4.68
r13,Rock,30,-84.19,102.34,-41.35,47.03,-16.95,26.23,-18.95,18.8,-21.7,11.05,-19.24,5.23,-16.76
r14,Rock,30,-56.96,115.22,-30.45,37.2,-22,21.88,-19.77,15,-24.09,17.79,-17.29,6.75,-10.74
r15,Rock,30,-55.34,114.43,-34.04,38,-22.33,18.54,-18.16,13.81,-27.8,18.17,-14.63,6.55,-8.26
r16,Rock,30,-34.63,106.5,-41.06,33.67,-27.23,21.4,-21.32,14.01,-27.78,16.05,-18.82,5.65,-14.29
r17,Rock,30,-88.36,105.43,-24.51,41.85,-22.36,23.73,-19.79,15.15,-27.1,13.85,-15.21,8.94,-12.8
r18,Rock,30,-52.48,99.71,-47.39,47.02,-21.02,22.88,-18.28,13.89,-23.45,13.51,-18.66,5.71,-12.89
r19,Rock,30,-47.04,95.78,-43.92,52.07,-22.55,20.86,-18.68,19.25,-21.25,21.88,-19.21,9.45,-12.58
r20,Rock,30,-58.98,106.58,-31.8,47.91,-17.43,27.76,-14.01,22.42,-20.55,19.56,-14.58,10.18,-10.95
r21,Rock,30,-123.35,74.88,-17.06,31.61,2.54,17.33,-3.82,9.72,-7.24,11.26,0.38,3.47,1.66
r22,Rock,30,-92.63,101.84,-33.49,48.73,12.4,20.81,8.7,9.28,2.77,5.23,-9.33,-3.49,-4.36
r23,Rock,30,-120.45,117.59,-27.64,42.84,-6.76,21.64,-12.1,17.95,-10.47,12.28,-6.57,13.52,-2.42
r24,Rock,30,-42.4,85.05,-7.38,40.71,-1.01,18.92,-3.54,5.87,-5.02,4.25,-3.17,-0.58,-0.53
r25,Rock,30,-131.43,67.74,32.89,34.59,-3.29,21.88,-5.81,10.23,-7.05,2.3,-4.37,-3.32,-6.28
r26,Rock,30,-89.08,81.39,-12.56,22.78,-7.07,-0.5,2.75,-3.45,-7.71,-0.84,-4.88,-2.69,-5.29
r27,Rock,30,-26.41,85.88,-17.21,35.31,9.98,10.67,1.4,4.58,-0.12,2.1,0.32,5.39,-1.01
r28,Rock,30,-119.04,128.9,-17.83,29.17,2.72,8,-7.06,3.87,-1.52,-3.99,-7.04,-2.87,-4.18
r29,Rock,30,-28.05,65.66,-7.32,33.76,11.13,14.6,2.09,10.01,-0.23,10.13,-2.85,3.1,-1.67
r30,Rock,30,-124,109.49,5.87,32.9,10.99,11.7,12.68,12.97,1.64,4.5,9.67,3.05,3.53
r31,Rock,30,-0.43,72.35,-13.06,23.92,10.23,10.32,-5.02,14.34,-0.69,9.89,0.73,5.22,-4.1
r32,Rock,30,-71.14,79.46,-20.8,30.65,5.53,3.7,4.7,7.27,-5.49,2.5,0.85,-0.58,-1.89
r33,Rock,29,-15.93,67.15,-20.12,15.58,4.8,10.83,5.96,11.8,-0.4,5.66,0.11,1.1,-1.74
r34,Rock,30,-156.55,130.72,-1.48,36.23,0.35,31.96,-0.62,20.16,-11.34,13.86,-3.79,11.54,-3.21
r35,Rock,30,-50.85,86.4,-14.42,12.83,21.69,4.24,1.74,3.7,4.68,-1.86,-1.2,-0.02,-4.13
r36,Rock,30,-65.91,61.28,-1.94,35.31,9.31,7.56,3.41,2.98,4.61,2.91,1.77,-0.39,-5.76
r37,Rock,30,-35.4,73.69,-20.22,17.18,14.95,10.21,7.6,1.59,4.18,0.75,-0.39,-1.31,-2.04
r38,Rock,30,-74.18,76.74,-3.8,28.03,8.14,6.02,4.3,0.51,2.85,-0.94,-2.36,-0.29,-1.46
r39,Rock,30,-62.13,75.87,-26.73,18.28,2.46,5.83,11.58,0.01,8.69,5.52,-0.25,2.4,-1.74
r40,Rock,30,-83.05,91.51,-13.69,16.13,10.33,5.53,-9.45,-6.62,-3.03,4.93,2.64,1.05,-3.67
r41,Rock,30,-93.36,137.47,-45.09,37.81,-9.42,12.59,-7.48,5.54,-3.74,-2.01,-2.46,-9.58,-3.17
r42,Rock,30,-58.31,62.51,-12.65,31.94,8.12,2.26,3.91,1.45,-2.71,1.11,-0.46,-2.38,1.24
r43,Rock,30,-144.96,118.46,20.53,28.56,2.35,10.07,11.92,4.85,-0.08,3.3,3.41,3.65,5.36
r44,Rock,30,-142.4,116.14,2.25,31.06,6.19,0.12,0.32,7.79,3.25,-3.02,1.71,0.74,0.14
r45,Rock,30,-127.97,134.44,1.02,54.44,-0.45,35.81,-10.86,16.39,-10.03,6.59,-6.7,11.04,-8.38
r46,Rock,30,-66.29,66.78,25.18,26.3,5.29,10.46,2.47,0.75,-0.37,1.73,3.21,5.04,-1.94
r47,Rock,30,-62.36,153.79,-55.13,28.01,-6.85,17.46,-22.61,18.14,-12.58,4.5,-8.39,7.22,-2.52
r48,Rock,30,-98.39,136.57,-46.71,46.48,-17.15,10.55,-14.58,16.55,-12.31,3.7,-12.65,2.95,-12.51
r49,Rock,30,-140.46,149.3,-10.07,38.78,1.54,20.12,-11.34,16.29,-13.26,10.18,-9.26,4.7,-8.37
r50,Rock,30,-14.95,138.44,-41.9,22.08,-18.68,32,-20.37,15.7,-17.35,14.87,-8.9,12.26,-5.83
c1,classical,30,-324.09,133.56,-25.03,24.55,-11.94,17.66,-5.52,1.72,-10.58,-0.86,-7.81,3.53,5.05
c2,classical,30,-235.3,141.12,-34.68,30.98,-16.4,23.12,-11.04,7.65,-19.02,4.23,-11.84,8.92,-1.45
c3,classical,30,-326.9,127.4,-30.6,37.47,-5.3,20.81,-1.78,-4.62,-4.04,5.24,-0.64,2.79,7.23
c4,classical,30,-259.95,118.93,-35.61,31.97,-16.52,10.62,-15.65,7.43,-5.82,8.27,-17.99,-1.19,-6.36
c5,classical,30,-264.34,138.18,-30.1,37.84,-7.17,6.77,-11.81,4.71,-9.83,5.86,-9.56,2.68,-4.79
c6,classical,30,-295.82,134.54,-22.43,40.76,-5.87,9.27,-11.87,6.29,-8.86,4.4,-9.37,4.06,1.64
c7,classical,30,-286.76,135.92,-24.44,36.66,-6.24,6.96,-8.17,3.84,-4.41,6.43,-4.13,1.56,-4.35
c8,classical,30,-292.09,127.76,-29.91,37.43,-9.57,5.11,-13.83,7.04,-7.03,6.5,-9.9,4.71,0.37
c9,classical,30,-356.11,139.8,-6.28,43.19,-8.87,11.06,-8.4,4.42,-8.28,8.68,-8.13,3.43,-1.45
c10,classical,30,-315.02,128.71,-28.93,30.83,-8.99,7.99,-9.85,1.43,-8.98,6.06,-3.31,7.62,3.81
c11,classical,30,-385.35,177.2,-9.34,24.38,5.8,-4.57,-6.36,-6.95,-4.12,3.87,-0.34,-0.94,-3.66
c12,classical,30,-362.73,143.91,-19.01,30.65,1.02,0.27,-7.99,-3.85,-8.93,3.28,-4.43,3.66,4.93
c13,classical,30,-343.14,140.1,-20.92,32.32,-3.68,2.94,-10.66,0.31,-5.8,7.68,-3.68,2.55,-3.5
c14,classical,30,-324.64,147.81,-31.93,27.41,-4.5,-4.17,-12.6,-5.13,-7.74,0.84,-8.19,-0.83,0.99
c15,classical,30,-449.5,124.98,-19.9,27.46,-5.77,2.22,-6.56,10.58,3.34,14.38,1.98,5.25,4.43
c16,classical,30,-482.58,154.85,-5.03,29.73,-1.87,8.22,-4.78,9.63,-3.35,4.53,-10.1,-0.67,-2.45
c17,classical,30,-311.56,148.68,-33.49,10.35,-12.9,1.23,-12.9,0.81,-9.73,2.06,-5.11,6.73,4.61
c18,classical,30,-405.63,145.73,-0.85,23.06,9.22,-2.64,-5.74,-2.08,-0.64,6.75,2.79,2.44,5.08
c19,classical,30,-475.81,141.5,-8.47,34,0.51,6.04,0,9.54,2.16,7.1,-8.05,-0.12,0.76
c20,classical,30,-300.91,161.13,-24.25,27.96,-2.86,2.39,-11.27,0.22,-6.84,6.09,-8.14,-1.82,-4.12
c21,classical,30,-278.17,147.88,-31.55,20.35,-9.57,-6.23,-13.6,-0.66,-7.27,1.01,-11.76,-0.97,-2.22
c22,classical,30,-278.81,160,-28.39,23.03,-2.71,3,-11.3,-0.52,-11.37,3.17,-5.09,4.35,-4.07
c23,classical,30,-406.85,163.08,-2.37,32.42,7.95,9.63,-5.46,9.49,-3.06,10.19,-10.35,-5.4,-8.05
c24,classical,30,-223.19,163.25,-34.41,24.19,-10.3,3.22,-12.89,0.8,-14.28,1.68,-10.14,0.23,-4.56
c25,classical,30,-221.3,173.32,-37.45,24.36,-8.68,3.38,-12.84,1.08,-15.32,0.42,-9.62,2.29,-4.49
c26,classical,30,-319.24,143.69,-31.17,10.93,-5.56,-4.26,-8.96,-5.58,-8.02,2.34,-4.48,-0.32,0.96
c27,classical,30,-366.26,181.6,-5.51,27,-4.83,4.6,-10.55,0.16,-11.14,3.58,-10.34,-1.08,-4.6
c28,classical,30,-228.96,153.92,-30.7,20.8,-6.1,1.18,-10.79,-3.87,-11.59,0.87,-8.3,-0.72,-3.08
c29,classical,30,-297.13,130.24,-30.59,27.47,-7.06,1.98,-11.14,4.74,-8.77,5.4,-5.39,4.46,1.74
c30,classical,30,-315.79,149.67,-30.55,23.21,-8.69,-10.1,-15.72,-4.04,-7.64,0.05,-11.14,-7.67,-5.87
c31,classical,30,-374,172.43,6.4,20.15,5.86,1.6,-6.71,-1.19,-0.29,0.33,-6.56,-7.3,-7.33
c32,classical,30,-498.6,177.51,11.21,27.63,-2.84,5.09,-6.6,-1.05,-4.14,-3.05,-9.91,-8.58,-9.19
c33,classical,30,-429.07,120.77,-1.7,17.94,7.74,-2.05,-3.94,-2.53,-0.59,-0.81,-9.06,-3.69,-0.98
c34,classical,30,-309.26,138.66,-29.72,33.62,-0.37,5.23,-6.33,3.29,-6.7,-0.69,-13.25,-8.54,-9.67
c35,classical,30,-319.72,166,-11.94,27.28,7.83,1.74,-7.85,-2.4,-2.9,-2.52,-11.37,-4.62,-4.49
c36,classical,30,-419.33,127.41,-3.78,23.2,-4.31,4.04,-8.2,-7.61,-7.07,-2.91,-7.4,-5.43,-9.09
c37,classical,30,-275.44,125.34,-41.03,24.6,-4.76,-4.26,-15,-5.04,-5,2.47,-10.89,-8.02,-5.17
c38,classical,30,-275.97,146.33,-36.6,24.21,-2.55,-2.16,-13.31,-6.5,-9.41,-3.12,-11.55,-4.19,-1.7
c39,classical,30,-409.51,116.8,-16.18,11.7,0.69,6.01,-4.27,0.5,0.43,12.59,-1.12,-1.14,4.95
c40,classical,30,-358.76,129.08,-30.38,19.88,-10.37,-0.65,-10.6,1.54,-3.97,1.87,-8.83,-7.17,-8.21
c41,classical,30,-368.52,124.25,-31.57,17.58,2.32,-5.95,-11.8,-5.52,-5.4,-1.31,-8.42,-3.62,2.21
c42,classical,30,-160.66,164.27,-48.74,1.66,-7.61,-2.66,-11.04,-7,-8.1,1.25,-5.37,-4.14,-5.43
c43,classical,30,-249.65,161.56,10.15,-3.06,-0.57,-2.07,-12.2,-8.61,-14.64,-12.05,-12.29,-7.16,-7.88
c44,classical,30,-402.21,153.98,-15.23,15.29,-3.07,-3.18,-9.76,-17.31,-12.31,-7.92,-7.1,-0.3,1.52
c45,classical,30,-171.08,156.9,-21.83,5.33,-4.07,-3.73,-8.9,-4.94,-7.9,-5.39,-9.34,-6.61,-7.79
c46,classical,30,-85.31,118.44,-31.48,20.28,-4.42,6.91,-10.95,-1.62,-7.36,-3.02,-4.44,-1.42,-4.25
c47,classical,30,-436.86,154.08,-19.86,20.18,3.17,0.45,-6.53,-4.61,-10.06,-6.16,-4.53,-2.77,-5.21
c48,classical,30,-124.05,148.6,-21.58,17.42,-1.42,4.12,-7.02,-5.14,-5.85,5.02,-6.23,-1.91,-0.9
c49,classical,29,-98.35,98.36,-20.49,18.82,-2.1,2.67,-7.31,-3.59,-7.99,-1.92,-4.73,0.62,-2.59
c50,classical,30,-449.55,151.5,-12.75,44.26,6.25,4.05,-1.48,-1.62,-2.49,-4.29,-9.66,-1.35,0.14
p1,Pop,30,-59.17,45.31,36.86,15.7,15.66,1.67,7.29,8.81,5.83,7.99,-2.28,1.9,-0.92
p2,Pop,30,-111.21,103.17,10.91,34.36,22.34,17.87,6.81,6.33,5.49,0.61,0.34,3.83,2.04
p3,Pop,30,-240.69,97.13,0.41,-0.27,-10.48,-15.74,1.38,-17.88,-9.09,-8.76,-14.26,-5.5,-8.36
p4,Pop,30,-50.83,80.23,-9.3,20.28,12.09,6.78,6.28,3.43,-3.96,2.57,-5.7,0.49,-0.57
p5,Pop,30,-161.62,85.58,53.26,32.21,27.18,11.32,7.89,8.76,1.26,13.2,0.07,4.83,3.11
p6,Pop,30,-135.34,107.81,-13.43,19.04,8.82,12.48,1.02,11.32,2.56,1.23,-6.39,5.87,2.89
p7,Pop,30,-45.8,65.27,12.93,14.51,7.02,4.41,6.6,3.29,7.73,4.05,3.66,2.6,4.05
p8,Pop,30,-97.05,51.83,18.75,20.49,5.61,3.58,5.57,0.74,7.34,1.66,-2.7,-0.44,-1.08
p9,Pop,30,-53.1,78.31,2.26,18.83,3.87,2.51,-3.81,6.81,-0.82,8.75,-4.8,-2.15,1.29
p10,Pop,30,-48.96,62.63,34.23,12.32,16.56,8.62,8.77,5.26,6.8,9.06,-4.08,-0.75,-0.38
p11,Pop,30,-25.12,70.81,2.93,7.53,1.45,2.86,1.91,-6.82,0.3,-1.94,-6.65,-0.25,-0.76
p12,Pop,30,-59.6,62.97,31.12,16.92,8.89,10.81,10.55,5.16,5.39,6.15,2.27,4.25,4.12
p13,Pop,30,13.44,58.23,-2.18,5.02,8.06,-0.49,4.09,2.25,4.3,3.6,-0.5,2.42,1.89
p14,Pop,30,-26.94,46.74,8.68,8.59,6.08,12.44,6.97,2.5,1.15,7.26,-3.14,1.26,3.84
p15,Pop,30,-26.02,60.93,6,17.74,5.12,10.43,2.47,4.93,8.13,3.86,-0.18,7.25,4.97
p16,Pop,30,-119.37,85.97,33.87,9.98,17.7,0.52,9.58,-5.32,4.17,8.12,-7.98,1.57,-2.93
p17,Pop,30,-8.45,42.06,8.26,17.97,14.04,7.36,5.72,-1.89,4.61,2.08,-1.07,-0.66,-2.44
p18,Pop,30,-42.24,82.17,-2.23,19.91,13.86,0.85,7.92,-0.71,6.87,-1.9,-4.69,-3.17,-2.94
p19,Pop,30,-44.74,55.06,27.16,19.49,14.69,3.2,5.5,1.43,4.5,1.37,-1.66,-3.53,-7.92
p20,Pop,30,-20.24,57.76,16.8,18.26,8.97,14.9,2.67,3.75,1.11,1.84,-5.98,-3.6,-3.65
p21,Pop,30,-59.05,61,27.74,23.85,12.3,7.38,12.32,7.14,13.41,2.5,-1.97,-2.42,-4.52
p22,Pop,30,-36.64,73.08,39.14,20.31,12.49,2.15,11.73,-2.42,6.64,3.17,-5.38,-3.14,-5.77
p23,Pop,30,-125.88,126.59,-23.16,36.22,20.94,-1.18,16.49,-3.64,6.52,9.34,-6.4,3.87,-7.94
p24,Pop,30,-18.17,72.28,-4.89,-0.38,1.69,-0.92,-1.33,-0.34,0.65,-0.19,-1.22,-1.05,2.52
p25,Pop,30,-18.85,71.33,-3.77,-1.41,0.71,-1.06,-1.05,-0.25,0.63,0.43,-1.5,-1.08,2.42
p26,Pop,30,-113.16,41.6,21.52,11.1,17.44,0.61,3.03,0.09,3.45,0.29,0.62,1.26,2.9
p27,Pop,30,-68.98,73.76,-12.47,9.55,-0.04,12.72,3.16,-0.07,2.53,2.88,-1.67,-3.02,1.62
p28,Pop,30,-59.55,77.3,26.37,3.19,6.76,-0.05,-0.62,-0.68,4.14,-0.44,-4.54,-3.56,-2.2
p29,Pop,30,24.32,68.96,-4.23,-1.05,5.24,2.99,4.33,4.28,6.43,3.63,0.11,-0.01,2.06
p30,Pop,30,-44.17,76.18,22.91,16.8,23,3.28,6.91,0.1,6.5,6.54,0.85,2.72,4.51
p31,Pop,30,4.77,64.47,-2.45,10.43,3.25,7.83,3.1,1.41,6.75,4.88,3.28,1.75,3.33
p32,Pop,30,-15.76,59.26,-1.6,12.56,8.74,3.96,2.04,4.22,4.98,2.9,2.33,1.99,1.72
p33,Pop,30,-19.46,51.93,36.99,13.09,14.58,3.2,15.3,-0.78,7.23,10.4,-0.38,6.23,-1.18
p34,Pop,30,-20.93,83.25,5.05,16.36,9.4,-0.56,4.04,6.2,9.12,5.86,-3.5,-0.64,-3.17
p35,Pop,30,-76.91,113.31,-6.22,19.93,15.11,-3.28,4.78,1.01,2.29,-0.01,-3.77,4.24,2.3
p36,Pop,30,-204.72,101.63,26.38,9.19,10.47,5.12,-9.46,9.31,-12.48,-2.48,6.22,-9.49,-2.55
p37,Pop,30,-37.09,68.9,10.49,23.95,15.36,3.56,11.68,2.92,2.55,4.76,-1.59,2.56,-1.01
p38,Pop,30,-50.85,68.05,12.08,36.32,8.66,19.5,10.72,12.31,1.66,10.16,4.83,1.7,2.73
p39,Pop,30,-47.98,54.15,-3.96,21.49,13.91,6,13.76,1.07,6.73,6.22,1.62,0.46,2.42
p40,Pop,30,-71.62,81.11,16.36,8.95,13.83,-0.75,12.51,-0.65,3.04,3.06,-3.22,-1.33,-0.66
p41,Pop,30,-72.14,81.28,16.71,8.69,14.18,-1.05,12.84,-0.53,3.14,3.16,-3.47,-1.14,-0.68
p42,Pop,30,-45.03,69.75,11.87,8.16,12.6,7.76,11.3,0.25,9.66,2.81,3.86,-0.84,2.1
p43,Pop,30,-52.64,47.78,13.46,2.22,13.26,9.15,14.45,0.87,9.46,7,-0.69,1.73,8.51
p44,Pop,30,-170.92,105.89,31.08,22.25,12.82,-5.16,11.24,-2.1,-0.15,5.08,-11.55,-3.61,1.39
p45,Pop,30,-113.55,90.02,-5.54,25.57,2.61,3.19,1.13,6.15,2.8,-1.86,-7.11,-3.45,-5.92
p46,Pop,30,-78.16,65.98,24.56,25.63,13.83,3.6,16.21,0.58,3.31,4.16,2.71,3.65,1.4
p47,Pop,30,-169.13,94.65,24.48,27.38,11.64,14.89,4.24,12.38,10.71,5.12,-0.35,1.25,-4.16
p48,Pop,30,-224.41,107.35,-1.59,13.89,8.12,-9.37,8.11,9.29,9.1,6.02,-6.66,2.07,6.19
p49,Pop,30,-52.42,74.03,12.68,24.5,21.1,1.9,6.81,4.73,8.41,8.24,-2.27,-1.2,-2.68
p50,Pop,30,-35.29,61.27,14.05,28.65,4.32,-1.36,-0.78,5.13,5.35,1.23,-7.26,-0.52,0.22
